Game_ID,Result,Home,Away,Date,Won,Won_Points,Lost,Lost_Points,Home_Won
401267465,"GS 118, DET 91",Golden State Warriors,Detroit Pistons,20210130,Golden State Warriors,118,Detroit Pistons,91,Yes
401267468,"LAC 129, NY 115",New York Knicks,LA Clippers,20210131,LA Clippers,129,New York Knicks,115,No
401267466,"DEN 128, UTAH 117",Denver Nuggets,Utah Jazz,20210131,Denver Nuggets,128,Utah Jazz,117,Yes
401267467,"PHI 119, IND 110",Indiana Pacers,Philadelphia 76ers,20210131,Philadelphia 76ers,119,Indiana Pacers,110,No
401267469,"TOR 115, ORL 102",Toronto Raptors,Orlando Magic,20210131,Toronto Raptors,115,Orlando Magic,102,Yes
401267470,"WSH 149, BKN 146",Washington Wizards,Brooklyn Nets,20210131,Washington Wizards,149,Brooklyn Nets,146,Yes
401267471,"MIN 109, CLE 104",Minnesota Timberwolves,Cleveland Cavaliers,20210131,Minnesota Timberwolves,109,Cleveland Cavaliers,104,Yes
401267473,"LAL 107, ATL 99",Atlanta Hawks,Los Angeles Lakers,20210201,,,,,
401267474,"CHA 129, MIA 121 (OT)",Miami Heat,Charlotte Hornets,20210201,,,,,
401267472,"CLE 100, MIN 98",Cleveland Cavaliers,Minnesota Timberwolves,20210201,,,,,
401267475,"CHI 110, NY 102",Chicago Bulls,New York Knicks,20210201,,,,,
401267476,"MIL 134, POR 106",Milwaukee Bucks,Portland Trail Blazers,20210201,,,,,
401267477,"SAC 118, NO 109",New Orleans Pelicans,Sacramento Kings,20210201,,,,,
401267478,"HOU 136, OKC 106",Oklahoma City Thunder,Houston Rockets,20210201,,,,,
401267479,"PHX 109, DAL 108",Dallas Mavericks,Phoenix Suns,20210201,,,,,
401267480,"MEM 133, SA 102",San Antonio Spurs,Memphis Grizzlies,20210201,,,,,
401267481,Postponed,Denver Nuggets,Detroit Pistons,20210201,,,,,
401267483,"TOR 123, ORL 108",Orlando Magic,Toronto Raptors,20210202,Toronto Raptors,123,Orlando Magic,108,No
401267484,"BKN 124, LAC 120",Brooklyn Nets,LA Clippers,20210202,Brooklyn Nets,124,LA Clippers,120,Yes
401267482,"IND 134, MEM 116",Indiana Pacers,Memphis Grizzlies,20210202,Indiana Pacers,134,Memphis Grizzlies,116,Yes
401282283,"POR 132, WSH 121",Washington Wizards,Portland Trail Blazers,20210202,Portland Trail Blazers,132,Washington Wizards,121,No
401267485,"UTAH 117, DET 105",Utah Jazz,Detroit Pistons,20210202,Utah Jazz,117,Detroit Pistons,105,Yes
401267486,"BOS 111, GS 107",Golden State Warriors,Boston Celtics,20210202,Boston Celtics,111,Golden State Warriors,107,No
401267487,"PHI 118, CHA 111",Charlotte Hornets,Philadelphia 76ers,20210203,Philadelphia 76ers,118,Charlotte Hornets,111,No
401267489,"MIL 130, IND 110",Milwaukee Bucks,Indiana Pacers,20210203,Milwaukee Bucks,130,Indiana Pacers,110,Yes
401267490,"DAL 122, ATL 116",Atlanta Hawks,Dallas Mavericks,20210203,Dallas Mavericks,122,Atlanta Hawks,116,No
401267488,"LAC 121, CLE 99",Cleveland Cavaliers,LA Clippers,20210203,LA Clippers,121,Cleveland Cavaliers,99,No
401267491,"WSH 103, MIA 100",Miami Heat,Washington Wizards,20210203,Washington Wizards,103,Miami Heat,100,No
401267492,"NY 107, CHI 103",Chicago Bulls,New York Knicks,20210203,New York Knicks,107,Chicago Bulls,103,No
401267493,"OKC 104, HOU 87",Oklahoma City Thunder,Houston Rockets,20210203,Oklahoma City Thunder,104,Houston Rockets,87,Yes
401267494,"SA 111, MIN 108",San Antonio Spurs,Minnesota Timberwolves,20210203,San Antonio Spurs,111,Minnesota Timberwolves,108,Yes
401267495,"NO 123, PHX 101",New Orleans Pelicans,Phoenix Suns,20210203,New Orleans Pelicans,123,Phoenix Suns,101,Yes
401267496,"SAC 116, BOS 111",Sacramento Kings,Boston Celtics,20210203,Sacramento Kings,116,Boston Celtics,111,Yes
401267498,"UTAH 112, ATL 91",Atlanta Hawks,Utah Jazz,20210204,Utah Jazz,112,Atlanta Hawks,91,No
401267499,"GS 147, DAL 116",Dallas Mavericks,Golden State Warriors,20210204,Golden State Warriors,147,Dallas Mavericks,116,No
401267497,"POR 121, PHI 105",Philadelphia 76ers,Portland Trail Blazers,20210204,Portland Trail Blazers,121,Philadelphia 76ers,105,No
401267500,"HOU 115, MEM 103",Memphis Grizzlies,Houston Rockets,20210204,Houston Rockets,115,Memphis Grizzlies,103,No
401267501,"LAL 114, DEN 93",Los Angeles Lakers,Denver Nuggets,20210204,Los Angeles Lakers,114,Denver Nuggets,93,Yes
